taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002974,0.001798,0.002060,0.001802,0.001093,0.000734,0.000010,0.000131,0.001067
2000,0.011001,0.006853,0.007349,0.006445,0.004206,0.002704,0.000017,0.000273,0.004203
3000,0.026179,0.016391,0.017496,0.015060,0.009323,0.006193,0.000026,0.000420,0.009848
4000,0.043469,0.026671,0.029019,0.025240,0.016284,0.010797,0.000035,0.000546,0.017139
5000,0.072231,0.044129,0.045705,0.040097,0.027021,0.017089,0.000040,0.000706,0.025034
10000,0.278194,0.176749,0.192342,0.165777,0.100971,0.066940,0.000075,0.001424,0.104663
15000,0.666615,0.402053,0.440448,0.388952,0.234858,0.151283,0.000111,0.002181,0.237506
20000,1.205847,0.740164,0.828122,0.753906,0.406087,0.262307,0.000150,0.002935,0.416169
25000,1.995196,1.197770,1.324343,1.253941,0.624621,0.377688,0.000135,0.002622,0.460359
