taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.001863,0.000983,0.000007,0.000005,0.000928,0.000005,0.000010,0.000073,0.001927
2000,0.010608,0.005092,0.000005,0.000009,0.004169,0.000008,0.000020,0.000161,0.009952
3000,0.030458,0.009862,0.000008,0.000013,0.009969,0.000012,0.000047,0.000244,0.019662
4000,0.024912,0.014212,0.000006,0.000012,0.012352,0.000011,0.000027,0.000217,0.022869
5000,0.038818,0.018579,0.000011,0.000019,0.017444,0.000013,0.000033,0.000283,0.034529
10000,0.142064,0.070935,0.000015,0.000028,0.067151,0.000026,0.000063,0.000559,0.144029
15000,0.321435,0.164689,0.000022,0.000041,0.167590,0.000037,0.000098,0.000857,0.320620
20000,0.556910,0.286074,0.000030,0.000055,0.263236,0.000050,0.000128,0.001160,0.564040
25000,0.991078,0.493523,0.000037,0.000075,0.437033,0.000062,0.000208,0.001895,0.924743
