taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.001906,0.000985,0.000003,0.000005,0.000921,0.000005,0.000009,0.000075,0.001968
2000,0.007514,0.004910,0.000005,0.000009,0.003627,0.000008,0.000018,0.000159,0.008057
3000,0.020972,0.011235,0.000008,0.000013,0.009497,0.000020,0.000041,0.000402,0.019811
4000,0.026594,0.012775,0.000007,0.000011,0.010617,0.000011,0.000031,0.000335,0.023182
5000,0.036642,0.017641,0.000008,0.000014,0.016616,0.000013,0.000027,0.000273,0.036435
10000,0.149051,0.076527,0.000016,0.000028,0.066163,0.000025,0.000052,0.000610,0.140198
15000,0.324331,0.180857,0.000029,0.000042,0.170876,0.000039,0.000078,0.000850,0.331513
20000,0.549839,0.295385,0.000031,0.000055,0.261107,0.000050,0.000102,0.001801,0.580933
25000,1.027207,0.558531,0.000037,0.000069,0.479732,0.000070,0.000143,0.001496,0.944096
