taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002452,0.001284,0.000006,0.000009,0.001407,0.000005,0.000028,0.000085,0.002015
2000,0.009899,0.003967,0.000005,0.000009,0.004065,0.000010,0.000233,0.000397,0.009196
3000,0.021845,0.009482,0.000007,0.000013,0.008765,0.000011,0.000047,0.000252,0.018366
4000,0.024430,0.011917,0.000007,0.000011,0.013838,0.000015,0.000072,0.000391,0.026841
5000,0.035148,0.020839,0.000013,0.000023,0.017505,0.000013,0.000071,0.000303,0.035825
10000,0.144137,0.070558,0.000016,0.000028,0.065130,0.000025,0.000199,0.000602,0.142166
15000,0.324036,0.167161,0.000024,0.000044,0.156200,0.000038,0.000279,0.001034,0.317038
20000,0.546623,0.285441,0.000029,0.000055,0.266319,0.000050,0.000272,0.001300,0.559589
25000,0.974255,0.485463,0.000037,0.000068,0.455635,0.000062,0.000401,0.001542,0.918095
