taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.001860,0.001404,0.000005,0.000008,0.000931,0.000004,0.001159,0.000073,0.002339
2000,0.009702,0.004965,0.000005,0.000009,0.003611,0.000010,0.001393,0.002746,0.008012
3000,0.020653,0.009956,0.000011,0.000020,0.009661,0.000011,0.003094,0.000233,0.021993
4000,0.024265,0.011620,0.000007,0.000012,0.010535,0.000010,0.001931,0.000246,0.021737
5000,0.039364,0.018942,0.000008,0.000015,0.019352,0.000031,0.001894,0.000423,0.035650
10000,0.143905,0.073640,0.000015,0.000035,0.066352,0.000025,0.000487,0.000560,0.140564
15000,0.377688,0.167791,0.000028,0.000057,0.148322,0.000037,0.001631,0.000849,0.323203
20000,0.560328,0.295174,0.000029,0.000055,0.264133,0.000049,0.000834,0.001195,0.558598
25000,0.946491,0.495519,0.000036,0.000071,0.453546,0.000062,0.001421,0.001538,0.985147
