taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002933,0.002057,0.002659,0.002345,0.000999,0.001177,0.000012,0.000075,0.001364
2000,0.015133,0.008331,0.010499,0.009388,0.004373,0.004806,0.000023,0.000167,0.005446
3000,0.030620,0.020230,0.022311,0.022832,0.009863,0.011855,0.000028,0.000231,0.012391
4000,0.041056,0.024066,0.027381,0.026258,0.011224,0.013840,0.000026,0.000215,0.015517
5000,0.058574,0.037385,0.042342,0.043305,0.018127,0.027213,0.000032,0.000318,0.026684
10000,0.214405,0.160807,0.173640,0.193501,0.074279,0.085118,0.000065,0.000973,0.098459
15000,0.509322,0.350654,0.414785,0.391783,0.169901,0.221171,0.000095,0.000968,0.220149
20000,0.901207,0.593028,0.696344,0.684117,0.287052,0.343401,0.000126,0.001148,0.388914
25000,1.448213,0.995440,1.146302,1.134139,0.485248,0.561995,0.000152,0.001452,0.636163
