taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002863,0.001766,0.001915,0.001730,0.001047,0.000655,0.001872,0.000132,0.001052
2000,0.011507,0.007753,0.008064,0.007045,0.004344,0.002734,0.001941,0.000287,0.004080
3000,0.026494,0.016064,0.017274,0.014357,0.009214,0.005953,0.001917,0.000431,0.009056
4000,0.043842,0.027254,0.029379,0.025461,0.016310,0.010491,0.001993,0.000610,0.016790
5000,0.069680,0.042324,0.045357,0.040714,0.025688,0.016316,0.001976,0.000764,0.025854
10000,0.279951,0.171352,0.187575,0.161411,0.101861,0.066694,0.002151,0.001629,0.103750
15000,0.664685,0.402347,0.437738,0.386251,0.227040,0.148356,0.002206,0.002509,0.226915
20000,1.217175,0.712980,0.802620,0.745596,0.399998,0.286886,0.002579,0.003724,0.416492
25000,1.381570,0.831538,0.923622,0.886833,0.432944,0.284445,0.001697,0.003005,0.443226
