taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002760,0.002254,0.002087,0.001782,0.001060,0.000664,0.000011,0.000137,0.000090
2000,0.011047,0.007016,0.008216,0.006642,0.004258,0.002562,0.000018,0.000269,0.000223
3000,0.024623,0.014552,0.013652,0.010759,0.006904,0.004360,0.000020,0.000330,0.000296
4000,0.028846,0.018324,0.020776,0.017190,0.010769,0.006775,0.000022,0.000390,0.000418
5000,0.045095,0.028583,0.032369,0.026783,0.016825,0.010701,0.000027,0.000489,0.000627
10000,0.183719,0.114955,0.131925,0.108909,0.066820,0.042418,0.000053,0.001001,0.001909
15000,0.447435,0.262571,0.314093,0.250833,0.150352,0.095923,0.000077,0.001565,0.003926
20000,0.804498,0.487563,0.603143,0.487520,0.267630,0.171433,0.000104,0.002068,0.006695
25000,1.442006,0.881030,1.075547,0.881004,0.448437,0.280631,0.000160,0.002901,0.010661
