taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002833,0.001828,0.002038,0.001701,0.001066,0.000646,0.002060,0.000135,0.000095
2000,0.011550,0.006817,0.007623,0.006372,0.004002,0.002689,0.002426,0.000314,0.000203
3000,0.019255,0.011837,0.012409,0.009727,0.006225,0.003863,0.001464,0.000308,0.000209
4000,0.028907,0.018359,0.020784,0.017314,0.010798,0.006902,0.001444,0.000420,0.000288
5000,0.045228,0.028700,0.032516,0.027143,0.016838,0.010838,0.001454,0.000540,0.000384
10000,0.183390,0.114803,0.136573,0.113576,0.070213,0.044676,0.001580,0.001183,0.000816
15000,0.431728,0.263362,0.314907,0.252198,0.151078,0.096488,0.001612,0.001805,0.001239
20000,0.806512,0.491614,0.603534,0.486037,0.268337,0.178892,0.001809,0.002600,0.001787
25000,1.452799,1.194349,1.522630,1.204446,0.610836,0.389184,0.002564,0.004484,0.003183
